и	ˈi
молот	mˈoɭʌt
тихий	tʲˈixij
колокол	kˈoɭʌkʌɭ
много	mnˈoɡʌ
искра	ˈɪskra
ту	tˈu
поднимает	pʌdnʲimˈɑjit
четырнадцать	tʃʲitˈyrnʌttsʌtʲ
разбор	razbˈor
вообще	vʌʌpɕˈe
ей	jˈej
читается	tʃʲitˈɑjitsʌ
прилавок	prʲiɭˈɑvʌk
тайники	tʌjnʲikʲˈɪ
случилось	sɭutʃʲˈiɭʌsʲ
которую	kʌtˈoruju
стаб	stˈɑp
девиз	dʲivʲˈis
новый	nˈovyj
двойного	dvʌjnˈovʌ
одинаково	ʌdʲinˈɑkʌvʌ
слоты	sɭʌtˈy
встреч	fstrʲˈetʃʲ
слышал	sɭˈyʃʌɭ
этому	ˈɛtʌmu
смена	smʲˈena
звучат	zvutʃʲˈɑt
запас	zapˈɑs
гудит	ɡudʲˈit
снять	sʲnʲˈɑtʲ
репутация	rʲiputˈɑtsyja
панель	panʲˈelʲ
этим	ˈɛtʲim
фокус	fˈokus
тракт	trˈɑkt
спросить	sprʌsʲˈitʲ
шанс	ʃˈɑns
ветвь	vʲˈetfʲ
отзывается	ʌdzyvˈɑjitsʌ
вдоль	vdˈolʲ
зерно	ʑirnˈo
продают	prʌdaˈjut
формы	fˈormy
жесты	ʒˈɛsty
ждут	ʒdˈut
разделов	raʑdʲˈeɭʌf
городов	ɡʌrʌdˈof
хозяйство	xʌʑˈɑjstvʌ
успех	uspʲˈex
редкий	rʲˈetkʲij
узнают	uznaˈjut
добычи	dʌbˈytʃʲɪ
слышна	sɭyʃnˈɑ
жителя	ʒˈytʲiɭʲʌ
героя	ɡʲirˈoja
руны	rˈuny
руду	rudˈu
тракта	trˈɑkta
башне	bˈɑʃnʲi
ранги	rˈɑnɡʲɪ
храме	xrˈɑmʲi
противник	prʌtʲˈivnʲik
впереди	fpʲirʲidʲˈɪ
материал	mʌtʲirʲiˈɑɭ
отказ	ʌtkˈɑs
легче	ɭʲˈextʃʲi
пары	pˈɑry
крови	krˈovʲɪ
следующий	sɭʲˈedujuɕij
всякий	fsʲˈɑkʲij
кроме	krˈomʲi
снимает	sʲnʲimˈɑjit
влево	vɭʲˈevʌ
секунды	sʲikˈundy
поражение	pʌraʒˈɛnʲijɪ
чтение	tʃʲtʲˈenʲijɪ
прошло	prʌʃɭˈo
лечит	ɭʲˈetʃʲit
силой	sʲˈiɭʌj
рунный	rˈunnyj
рог	rˈok
руины	ruˈiny
костей	kˈosʲtʲij
первые	pʲˈervyjɪ
магическая	maɡʲˈitʃʲiskʌja
шкура	ʃkˈura
выход	vˈyxʌt
древние	drʲˈevnʲijɪ
склад	skɭˈɑt
землю	ʑˈemɭʲu
разобрать	rʌzʌbrˈɑtʲ
стая	stˈɑja
кузня	kˈuʑnʲʌ
повод	pˈovʌt
отношение	ʌtnʌʃˈɛnʲijɪ
тринадцать	trʲinˈɑttsʌtʲ
наука	naˈuka
беды	bʲˈedy
ощупывание	ʌɕˈupyvʌnʲijɪ
голосов	ɡʌɭʌsˈof
хранится	xranʲˈitsʌ
крыла	krˈyɭa
первая	pʲˈervʌja
касанием	kasˈɑnʲijim
первом	pʲˈervʌm
зелья	ʑˈeɭjja
книгу	knʲˈiɡu
цели	tsˈɛɭʲɪ
направление	nʌpravɭʲˈenʲijɪ
победа	pʌbʲˈeda
снаружи	snarˈuʒy
магический	maɡʲˈitʃʲiskʲij
друга	drˈuɡa
проверка	prʌvʲˈerka
мастерская	masʲtʲˈerskʌja
стен	sʲtʲˈen
находки	naxˈotkʲɪ
найти	najtʲˈɪ
самое	sˈɑmʌjɪ
движение	dvʲiʒˈɛnʲijɪ
курс	kˈurs
хлеб	xɭʲˈep
растут	rastˈut
груз	ɡrˈus
берег	bʲirʲˈek
заставы	zastˈɑvy
квартал	kvartˈɑɭ
ловушка	ɭʌvˈuʃka
жар	ʒˈɑr
холод	xˈoɭʌt
дорог	dʌrˈok
имён	ɪmʲˈɵn
нигде	nʲiɡdʲˈe
ближе	bɭʲˈiʒy
кем	kʲˈem
лицо	ɭʲitsˈo
решения	rʲiʃˈɛnʲija
ось	ˈosʲ
ясно	ˈjasnʌ
правда	prˈɑvda
файл	fˈɑjɭ
синтезатор	sʲintʲizˈɑtʌr
шести	ʃysʲtʲˈɪ
читает	tʃʲitˈɑjit
бьют	bjˈjut
месту	mʲˈestu
обозы	ʌbˈozy
боги	bˈoɡʲɪ
предтеч	prʲitʲtʲˈetʃʲ
академия	akadʲˈemʲija
точки	tˈotʃʲkʲɪ
читать	tʃʲitˈɑtʲ
правила	prˈɑvʲiɭa
именем	ˈɪmʲinʲim
навсегда	nʌfsʲiɡdˈɑ
единицу	jɪdʲinʲˈitsu
ушла	uʃɭˈɑ
ногой	nʌɡˈoj
принимает	prʲinʲimˈɑjit
ветра	vʲˈetra
стужа	stˈuʒa
растения	rasʲtʲˈenʲija
звери	zvʲˈerʲɪ
из-за	ɪszˈɑ
делают	dʲˈeɭʌjut
вопрос	vʌprˈos
приходят	prʲixˈodʲʌt
везде	vʲiʑdʲˈe
черты	tʃʲirtˈy
хоть	xˈotʲ
мои	mʌˈɪ
пяти	pʲatʲˈɪ
сундуков	sundukˈof
войн	vˈojn
годится	ɡʌdʲˈitsʌ
днём	dnʲˈɵm
дне	dnʲˈe
слышны	sɭyʃnˈy
дно	dnˈo
гримуар	ɡrʲimˈuʌr
подготовка	pʌdɡʌtˈofka
родня	rʌdnʲˈɑ
морок	mʌrˈok
спрашивают	sprˈɑʃyvʌjut
шт	ʃˌɑtˈɛ
го	ɡˈo
кат	kˈɑt
удел	udʲˈeɭ
отн	ˈotn
пр	pˌɛˈɛr
ко	kˈo
вправо	fprˈɑvʌ
занято	zˈɑnʲʌtʌ
взмах	vzmˈɑx
должно	dʌɭʒnˈo
прочее	prˈotʃʲijɪ
пройти	prʌjtʲˈɪ
числа	tʃʲˈisɭa
игроку	ɪɡrʌkˈu
цепочка	tsypˈotʃʲka
записью	zˈɑpʲisʲjju
печати	pʲitʃʲˈɑtʲɪ
стеной	sʲtʲinˈoj
осада	ʌsˈɑda
порча	pˈortʃʲʌ
долю	dˈoɭʲu
взаимодействие	vzʌimʌdʲˈejstvʲijɪ
пятую	pʲˈɑtuju
отношения	ʌtnʌʃˈɛnʲija
состояния	sʌstʌˈjanʲija
престол	prʲistˈoɭ
человека	tʃʲiɭʌvʲˈeka
кровью	krˈovjju
удача	udˈɑtʃʲʌ
жребий	ʒrʲˈebʲij
ядра	ˈjadra
где-то	ɡdʲˈetʌ
сост	sˈost
пахнет	pˈɑxnʲit
деяние	dʲiˈjanʲijɪ
деф	dʲˈef
которая	kʌtˈorʌja
войти	vʌjtʲˈɪ
семи	sʲimʲˈɪ
складывается	skɭˈɑdyvʌjitsʌ
работают	rabˈotʌjut
закрывает	zʌkryvˈɑjit
жестов	ʒˈɛstʌf
обойти	ʌbʌjtʲˈɪ
собрание	sʌbrˈɑnʲijɪ
артефактов	artʲifˈɑktʌf
около	ˈokʌɭʌ
пустоту	pustʌtˈu
лежат	ɭʲiʒˈɑt
каждую	kˈɑʒduju
оружия	ʌrˈuʒyja
причина	prʲitʃʲˈina
эти	ˈɛtʲɪ
темноте	tʲimnʌtʲˈe
край	krˈɑj
пустой	pustˈoj
улицы	ˈuɭʲitsy
герой	ɡʲirˈoj
которым	kʌtˈorym
края	krˈɑja
позже	pˈoʒʒy
зовёт	zʌvʲˈɵt
показывает	pʌkˈɑzyvʌjit
ворот	vʌrˈot
тени	tʲˈenʲɪ
камни	kˈɑmnʲɪ
снег	sʲnʲˈek
кругом	krˈuɡʌm
брать	brˈɑtʲ
спиной	spʲinˈoj
верх	vʲˈerx
оттуда	ʌttˈuda
магистр	maɡʲˈistr
разлома	razɭˈoma
корень	kˈorʲinʲ
кольцо	kʌɭʲtsˈo
цел	tsˈɛɭ
поиск	pˈoisk
осады	ʌsˈɑdy
сорт	sˈort
предмет	prʲidmʲˈet
вина	vʲˈina
единственная	jɪdʲˈinstvʲinnʌja
встаёт	fstaˈɵt
раздела	raʑdʲˈeɭa
пункта	pˈunkta
проба	prˈoba
самом	sˈɑmʌm
нужны	nuʒnˈy
единицы	jɪdʲinʲˈitsy
области	ˈobɭʌsʲtʲɪ
экономика	ɛkʌnˈomʲika
надзор	nadzˈor
новые	nˈovyjɪ
звенит	zvʲinʲˈit
камне	kˈɑmnʲi
крик	krʲˈik
скрип	skrʲˈip
хор	xˈor
ливень	ɭʲˈivʲinʲ
доски	dˈoskʲɪ
очаг	ʌtʃʲˈɑk
лицензия	ɭʲitsˈɛnʑija
единственный	jɪdʲˈinstvʲinnyj
сначала	snatʃʲˈɑɭa
вправду	fprˈɑvdu
следы	sɭʲidˈy
воюет	vʌˈjujit
верно	vʲˈernʌ
зато	zatˈo
заря	zarʲˈɑ
достаток	dʌstˈɑtʌk
возраст	vˈozrʌst
разные	rˈɑznyjɪ
хищник	xˈiɕnʲik
промысел	prˈomysʲiɭ
уголь	ˈuɡʌlʲ
входит	fxˈodʲit
гнёзд	ɡnʲˈɵst
пошёл	pʌʃˈoɭ
разведка	razvʲˈetka
воля	vˈoɭʲʌ
уважение	uvaʒˈɛnʲijɪ
основа	ʌsnˈova
мотив	mʌtʲˈif
умолчанию	umʌɭtʃʲˈɑnʲiju
незрячий	nʲizrʲˈɑtʃʲij
энциклопедия	ɛntsykɭʌpʲˈedʲija
расстояние	rʌsstʌˈjanʲijɪ
тайное	tˈɑjnʌjɪ
жителей	ʒˈytʲiɭʲij
наставник	nastˈɑvnʲik
объект	ʌbjjˈekt
своему	svʌjimˈu
обычный	ʌbˈytʃʲnyj
лишь	ɭʲˈiʃ
ошибка	ʌʃˈypka
подземный	pʌdʲʑˈemnyj
звон	zvˈon
собирается	sʌbʲirˈɑjitsʌ
страниц	stranʲˈits
здания	zdˈɑnʲija
имеет	ɪmʲˈejit
строкой	strʌkˈoj
стене	sʲtʲinʲˈe
лечебница	ɭʲitʃʲˈebnʲitsa
тюрьма	tʲurɪmˈɑ
судно	sˈudnʌ
переходы	pʲirʲixˈody
воде	vʌdʲˈe
равно	ravnˈo
войну	vʌjnˈu
частей	tʃʲasʲtʲˈej
двое	dvˈojɪ
десятую	dʲisʲˈɑtuju
сделано	ʑdʲˈeɭʌnʌ
порога	pʌrˈoɡa
суме	sumʲˈe
видел	vʲˈidʲiɭ
кончается	kʌntʃʲˈɑjitsʌ
сохранение	sʌxranʲˈenʲijɪ
династия	dʲinˈɑsʲtʲija
добро	dʌbrˈo
держать	dʲirʒˈɑtʲ
принести	prʲinʲisʲtʲˈɪ
лавка	ɭˈɑfka
площади	pɭˈoɕʌdʲɪ
военный	vʌjˈennyj
трюм	trʲˈum
какая	kakˈɑja
дух	dˈux
спрос	sprˈos
слабее	sɭabʲˈejɪ
сбой	zbˈoj
узла	uzɭˈɑ
ищут	ˈɪɕut
командование	kʌmˈɑndʌvʌnʲijɪ
герб	ɡʲˈerp
союзник	sʌˈjuʑnʲik
сводка	svˈotka
описание	ʌpʲisˈɑnʲijɪ
звуком	zvˈukʌm
далеко	dʌɭʲikˈo
тёмные	tʲˈɵmnyjɪ
класс	kɭˈɑss
общего	ˈopɕivʌ
зовут	zʌvˈut
сказать	skazˈɑtʲ
медленнее	mʲˈedɭʲinnʲijɪ
шахты	ʃˈɑxty
посох	pˈosʌx
костяной	kʌsʲtʲanˈoj
право	prˈɑvʌ
тяжесть	tʲˈɑʒystʲ
тайник	tajnʲˈik
главы	ɡɭˈɑvy
обычная	ʌbˈytʃʲnʌja
смерть	smʲˈertʲ
деле	dʲˈeɭʲi
найдена	nˈɑjdʲina
остался	ʌstˈɑɭsʲʌ
любого	ɭʲubˈovʌ
будто	bˈudtʌ
подняться	pʌdnʲˈɑtsʌ
опись	ˈopʲisʲ
просят	prˈosʲʌt
делается	dʲˈeɭʌjitsʌ
механизм	mʲixanʲˈizm
заряды	zarʲˈɑdy
кристалла	krʲistˈɑɭɭa
нехватка	nʲixvˈɑtka
маршрут	marʃrˈut
помнят	pˈomnʲʌt
державой	dʲirʒˈɑvʌj
голод	ɡˈoɭʌt
логово	ɭˈoɡʌvʌ
плита	pɭʲitˈɑ
пророчество	prʌrˈotʃʲistvʌ
ушли	uʃɭʲˈɪ
настоящие	nʌstʌˈjaɕijɪ
доброе	dˈobrʌjɪ
падает	pˈɑdʌjit
согласие	sʌɡɭˈɑsʲijɪ
биом	bʲˈiʌm
ест	jˈest
шапка	ʃˈɑpka
покровитель	pʌkrʌvʲˈitʲilʲ
смелость	smʲˈeɭʌstʲ
лучший	ɭˈutʃʲʃyj
кач	kˈɑtʃʲ
такие	takʲˈijɪ
громкость	ɡrˈomkʌstʲ
прежние	prʲˈeʒnʲijɪ
некуда	nʲˈekuda
экрана	ɛkrˈɑna
обычное	ʌbˈytʃʲnʌjɪ
собирают	sʌbʲirˈɑjut
точность	tˈotʃʲnʌstʲ
волны	vˈoɭny
реестр	rʲijˈestr
старые	stˈɑryjɪ
старый	stˈɑryj
записями	zˈɑpʲisʲʌmʲɪ
мост	mˈost
ради	rˈɑdʲɪ
звание	zvˈɑnʲijɪ
камню	kˈɑmnʲu
сказано	skˈɑzʌnʌ
буря	bˈurʲʌ
жрец	ʒrʲˈets
странник	strˈɑnnʲik
номер	nˈomʲir
новых	nˈovyx
виды	vʲˈidy
стекло	sʲtʲikɭˈo
новая	nˈovʌja
скрытое	skrˈytʌjɪ
вне	vnʲˈe
дальний	dˈɑɭʲnʲij
служба	sɭˈuʒba
живых	ʒyvˈyx
видов	vʲˈidʌf
виден	vʲˈidʲin
эхо-скан	ˈɛxʌskˈɑn
мешает	mʲiʃˈɑjit
самый	sˈɑmyj
план	pɭˈɑn
острова	ʌstrˈova
золотой	zʌɭʌtˈoj
уйти	ujtʲˈɪ
выходят	vyxˈodʲʌt
ночи	nˈotʃʲɪ
покой	pʌkˈoj
ваши	vˈɑʃy
доме	dˈomʲi
тишины	tʲiʃynˈy
река	rʲikˈɑ
хранитель	xranʲˈitʲilʲ
доверие	dʌvʲˈerʲijɪ
миру	mʲˈiru
древний	drʲˈevnʲij
смотреть	smʌtrʲˈetʲ
рычаг	rytʃʲˈɑk
жизнь	ʒˈyʑnʲ
обряды	ʌbrʲˈɑdy
рад	rˈɑt
усл	ˈusɭ
достаёт	dʌstaˈɵt
север	sʲˈevʲir
разделам	raʑdʲˈeɭʌm
пункте	pˈunktʲi
владыки	vɭadˈykʲɪ
ключа	kɭʲutʃʲˈɑ
кузница	kˈuʑnʲitsa
свитки	svʲˈitkʲɪ
материалы	mʌtʲirʲiˈɑɭy
деньги	dʲˈenʲɡʲɪ
быстро	bˈystrʌ
придётся	prʲidʲˈɵtsʌ
трактир	traktʲˈir
строй	strˈoj
наковальня	nʌkʌvˈɑɭʲnʲʌ
правитель	pravʲˈitʲilʲ
закрыто	zakrˈytʌ
короче	kʌrˈotʃʲi
нарочно	narˈotʃʲnʌ
касается	kasˈɑjitsʌ
прошёл	prʌʃˈoɭ
эта	ˈɛta
пятнадцать	pʲatnˈɑttsʌtʲ
такая	takˈɑja
пуст	pˈust
дверью	dvʲˈerɪjju
вся	fsʲˈɑ
берега	bʲirʲˈeɡa
выберите	vˈybʲirʲitʲi
уходят	uxˈodʲʌt
вернулся	vʲirnˈuɭsʲʌ
даром	dˈɑrʌm
других	druɡʲˈix
взят	vʑˈɑt
выйдет	vˈyjdʲit
ушло	uʃɭˈo
ноша	nˈoʃa
требование	trʲˈebʌvʌnʲijɪ
фракции	frˈɑktsyɪ
воюют	vʌˈjujut
вложено	vɭˈoʒynʌ
книге	knʲˈiɡʲi
биомы	bʲiˈomy
посад	pʌsˈɑt
верёвка	vʲirʲˈɵfka
расходится	rasxˈodʲitsʌ
й	ˌikrˈɑtkɔjɪ
показание	pʌkazˈɑnʲijɪ
обработка	ʌbrabˈotka
проверить	prʌvʲˈerʲitʲ
обучение	ʌbutʃʲˈenʲijɪ
остаются	ʌstaˈjutsʌ
редко	rʲˈetkʌ
устройства	ustrˈojstva
направления	nʌpravɭʲˈenʲija
обычные	ʌbˈytʃʲnyjɪ
журнал	ʒurnˈɑɭ
договоры	dʌɡʌvˈory
чернила	tʃʲirnʲˈiɭa
граней	ɡrˈɑnʲij
победы	pʌbʲˈedy
спорят	spˈorʲʌt
миг	mʲˈik
открытым	ʌtkrˈytym
настоящая	nʌstʌˈjaɕʌja
лук	ɭˈuk
вида	vʲˈida
каменная	kˈɑmʲinnʌja
трактирщик	traktʲˈirɕik
деревня	dʲirʲˈevnʲʌ
впервые	fpʲirvˈyjɪ
шёпот	ʃˈopʌt
лестницы	ɭʲˈesnʲitsy
числом	tʃʲisɭˈom
алтаря	aɭtarʲˈɑ
раза	rˈɑza
ресурса	rʲisˈursa
наставника	nastˈɑvnʲika
отпечаток	ʌtpʲitʃʲˈɑtʌk
плату	pɭˈɑtu
склады	skɭˈɑdy
пустоты	pustˈoty
тёплый	tʲˈɵpɭyj
стол	stˈoɭ
доска	dʌskˈɑ
называют	nʌzyvˈɑjut
охота	ʌxˈota
смены	smʲˈeny
суд	sˈut
настоящее	nʌstʌˈjaɕijɪ
дипломатия	dʲipɭʌmˈɑtʲija
гнёт	ɡnʲˈɵt
состав	sʌstˈɑf
известность	ɪzvʲˈesnʌstʲ
года	ɡˈoda
климат	kɭʲˈimʌt
пер	pʲˈer
бар	bˈɑr
разделы	raʑdʲˈeɭy
настроек	nastrˈojik
звуковая	zvukʌvˈɑja
картина	kartʲˈina
постройка	pʌstrˈojka
выбран	vˈybrʌn
старое	stˈɑrʌjɪ
механизмы	mʲixanʲˈizmy
меры	mʲˈery
цепочки	tsypˈotʃʲkʲɪ
слишком	sɭʲˈiʃkʌm
небом	nʲˈebʌm
глухой	ɡɭuxˈoj
шахте	ʃˈɑxtʲi
драконий	drakˈonʲij
семнадцать	sʲimnˈɑttsʌtʲ
какого	kakˈovʌ
прежний	prʲˈeʒnʲij
стан	stˈɑn
восьми	vʌsʲmʲˈɪ
подпись	pˈotpʲisʲ
встал	fstˈɑɭ
услышать	usɭˈyʃʌtʲ
каменный	kˈɑmʲinnyj
дальнего	dˈɑɭʲnʲivʌ
тише	tʲˈiʃy
плетение	pɭʲitʲˈenʲijɪ
схрон	sxrˈon
прилавка	prʲiɭˈɑfka
следующая	sɭʲˈedujuɕʌja
жил	ʒˈyɭ
враги	vraɡʲˈɪ
сезон	sʲizˈon
ядер	ˈjadʲir
благословение	bɭʌɡʌsɭʌvʲˈenʲijɪ
дышит	dˈyʃyt
факультета	fʌkuɭʲtʲˈeta
хозяина	xʌʑˈɑina
тропа	trʌpˈɑ
пепла	pʲˈepɭa
утро	ˈutrʌ
возврата	vʌzvrˈɑta
клеймо	kɭʲijmˈo
именной	ɪmʲinnˈoj
приз	prʲˈis
сч	ˌɛstʃʲˈe
открыта	ʌtkrˈyta
украшение	ukraʃˈɛnʲijɪ
событий	sʌbˈytʲij
прочие	prˈotʃʲijɪ
источника	ɪstˈotʃʲnʲika
последнее	pʌsɭʲˈednʲijɪ
очередь	ˈotʃʲirʲitʲ
меняют	mʲinʲˈɑjut
причал	prʲitʃʲˈɑɭ
морские	mʌrskʲˈijɪ
выбрать	vˈybrʌtʲ
всю	fsʲˈu
настройках	nastrˈojkʌx
торгуют	tʌrɡˈujut
прежнего	prʲˈeʒnʲivʌ
начало	natʃʲˈɑɭʌ
такое	takˈojɪ
немного	nʲimnˈoɡʌ
рык	rˈyk
сталь	stˈɑlʲ
стрела	strʲiɭˈɑ
пустыня	pustˈynʲʌ
ночное	nʌtʃʲnˈojɪ
давно	davnˈo
орган	ˈorɡʌn
разрыв	razrˈyf
которому	kʌtˈorʌmu
реки	rʲˈekʲɪ
последнего	pʌsɭʲˈednʲivʌ
чан	tʃʲˈɑn
сорока	sʌrˈoka
пальцы	pˈɑɭʲtsy
из-под	ɪspˈot
переходов	pʲirʲixˈodʌf
четвёртый	tʃʲitvʲˈɵrtyj
заметно	zamʲˈetnʌ
лесу	ɭʲˈesu
заранее	zarˈɑnʲijɪ
скакун	skakˈun
разъезд	razjjˈest
принять	prʲinʲˈɑtʲ
макс	mˈɑks
зверя	zvʲˈerʲʌ
стену	sʲtʲˈenu
своём	svʌˈɵm
шар	ʃˈɑr
чаша	tʃʲˈɑʃa
отдых	ˈoddyx
сих	sʲˈix
перо	pʲirˈo
горах	ɡʌrˈɑx
входа	fxˈoda
зачем	zatʃʲˈem
яма	ˈjama
смотритель	smʌtrʲˈitʲilʲ
сопротивление	sʌprʌtʲivɭʲˈenʲijɪ
кладут	kɭadˈut
гор	ɡˈor
войска	vˈojska
ряд	rʲˈɑt
полоса	pʌɭʌsˈɑ
запах	zˈɑpʌx
назначение	nʌznatʃʲˈenʲijɪ
принимают	prʲinʲimˈɑjut
столб	stˈoɭp
вр	vˌɛˈɛr
взяли	vʑˈɑɭʲɪ
сезоны	sʲizˈony
наковальни	nʌkʌvˈɑɭʲnʲɪ
механика	mʲixˈɑnʲika
см	ˌɛsˈɛm
браузер	brˈɑuʑir
двигает	dvʲˈiɡʌjit
восток	vʌstˈok
ставит	stˈɑvʲit
совсем	sʌfsʲˈem
скажет	skˈɑʒyt
осмотр	ʌsmˈotr
ветром	vʲˈetrʌm
назовёт	nʌzʌvʲˈɵt
вернуть	vʲirnˈutʲ
щелчок	ɕiɭtʃʲˈok
записано	zapʲˈisʌnʌ
инструменты	ɪnstrumʲˈenty
леса	ɭʲˈesa
вашей	vˈɑʃyj
знаки	znˈɑkʲɪ
верит	vʲˈerʲit
шагах	ʃaɡˈɑx
узнать	uznˈɑtʲ
да	dˈɑ
множитель	mnˈoʒytʲilʲ
поднимается	pʌdnʲimˈɑjitsʌ
старая	stˈɑrʌja
всякая	fsʲˈɑkʌja
костёр	kʌsʲtʲˈɵr
сухой	suxˈoj
стук	stˈuk
отзвук	ˈodzvuk
ученик	utʃʲinʲˈik
роли	rˈoɭʲɪ
квест	kvʲˈest
задание	zadˈɑnʲijɪ
храмовый	xrˈɑmʌvyj
развязка	razvʲˈɑska
двора	dvʌrˈɑ
таверны	tavʲˈerny
службы	sɭˈuʒby
святилище	svʲatʲˈiɭʲiɕi
останки	ʌstˈɑnkʲɪ
тревога	trʲivˈoɡa
строк	strˈok
жив	ʒˈyf
десяток	dʲisʲˈɑtʌk
пуста	pustˈɑ
трижды	trʲˈiʒdy
счётчик	ɕˈɵttʃʲik
тропы	trˈopy
главное	ɡɭˈɑvnʌjɪ
подземелий	pʌdʲʑimʲˈeɭʲij
туманов	tumˈɑnʌf
пик	pʲˈik
порту	pˈortu
неба	nʲˈeba
блок	bɭˈok
случается	sɭutʃʲˈɑjitsʌ
поручение	pʌrutʃʲˈenʲijɪ
гнездо	ɡnʲizdˈo
требования	trʲˈebʌvʌnʲija
мастерство	mʌsʲtʲirstvˈo
третьей	trʲˈetʲjjij
оттого	ʌttʌvˈo
фазы	fˈɑzy
астральный	astrˈɑɭʲnyj
разговора	rʌzɡʌvˈora
точка	tˈotʃʲka
кл	kˌɑˈɛɭ
районы	rajˈony
а-яё	ajaˈɵ
получает	pʌɭutʃʲˈɑjit
акустика	akˈusʲtʲika
языки	jazykʲˈɪ
слов	sɭˈof
станет	stˈɑnʲit
встречаются	fstrʲitʃʲˈɑjutsʌ
магические	maɡʲˈitʃʲiskʲijɪ
империи	ɪmʲpʲˈerʲiɪ
редкие	rʲˈetkʲijɪ
последствия	pʌsɭʲˈetstvʲija
знания	znˈɑnʲija
демонология	dʲimʌnʌɭˈoɡʲija
ровный	rˈovnyj
отнимает	ʌtʲnʲimˈɑjit
рассказывает	rasskˈɑzyvʌjit
слушать	sɭˈuʃʌtʲ
закрывается	zʌkryvˈɑjitsʌ
тяжёлая	tʲaʒˈoɭʌja
клич	kɭʲˈitʃʲ
шум	ʃˈum
прежних	prʲˈeʒnʲix
морской	mʌrskˈoj
старейшина	starʲˈejʃyna
синтез	sʲˈintʲis
настоящий	nʌstʌˈjaɕij
ноги	nˈoɡʲɪ
пещеры	pʲiɕˈery
зеркало	ʑˈerkʌɭʌ
входе	fxˈodʲi
вслепую	fsɭʲipˈuju
владыка	vɭadˈyka
ящик	ˈjaɕik
оставить	ʌstˈɑvʲitʲ
обработчик	ʌbrabˈottʃʲik
стоите	stʌˈitʲi
другие	druɡʲˈijɪ
кварталы	kvartˈɑɭy
отдать	ʌddˈɑtʲ
изнутри	ɪznutrʲˈɪ
вашего	vˈɑʃyvʌ
паломничество	paɭˈomnʲitʃʲistvʌ
назначения	nʌznatʃʲˈenʲija
полтора	pʌɭtʌrˈɑ
виа	vʲˈia
добавляет	dʌbavɭʲˈɑjit
кланы	kɭˈɑny
делом	dʲˈeɭʌm
ветру	vʲˈetru
третья	trʲˈetʲjja
входят	fxˈodʲʌt
одни	ʌdnʲˈɪ
глаза	ɡɭˈɑza
алхимия	aɭxˈimʲija
проклятие	prʌkɭʲˈɑtʲijɪ
специализации	spʲitsyʌɭʲizˈɑtsyɪ
местом	mʲˈestʌm
срывается	sryvˈɑjitsʌ
сидит	sʲidʲˈit
отдано	ˈoddʌnʌ
шутка	ʃˈutka
транспорт	trˈɑnspʌrt
делу	dʲˈeɭu
клятв	kɭʲˈɑtf
открыт	ʌtkrˈyt
открытых	ʌtkrˈytyx
легла	ɭʲiɡɭˈɑ
сырьё	syrɪjˈɵ
фаза	fˈɑza
горит	ɡʌrʲˈit
спит	spʲˈit
облачно	ˈobɭʌtʃʲnʌ
роды	rˈody
сказ	skˈɑs
синергия	sʲinʲˈerɡʲija
износ	ɪznˈos
маркер	mˈɑrkʲir
отдельный	ʌdʲdʲˈeɭʲnyj
экран	ɛkrˈɑn
начать	natʃʲˈɑtʲ
списком	spʲˈiskʌm
мелочь	mʲˈeɭʌtʃʲ
опыта	ˈopyta
выполняет	vypʌɭnʲˈɑjit
любое	ɭʲubˈojɪ
пред	prʲˈet
носитель	nʌsʲˈitʲilʲ
намерение	namʲˈerʲinʲijɪ
домов	dʌmˈof
играет	ɪɡrˈɑjit
быстрый	bˈystryj
медленно	mʲˈedɭʲinnʌ
руке	rukʲˈe
звуковой	zvukʌvˈoj
сотни	sˈotʲnʲɪ
закрыт	zakrˈyt
доступно	dʌstˈupnʌ
чуть	tʃʲˈutʲ
лязг	ɭʲˈɑsk
стражник	strˈɑʒnʲik
каталог	kʌtaɭˈok
видит	vʲˈidʲit
дерева	dʲˈerʲiva
условия	usɭˈovʲija
всему	fsʲimˈu
полный	pˈoɭnyj
находят	naxˈodʲʌt
пятого	pʲˈɑtʌvʌ
